id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
4650,03N,small_airport,Utirik Airport,11.222219,169.851429,4,OC,MH,MH-UTI,Utirik Island,yes,,UTK,03N,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,
6924,07FA,medium_airport,Ocean Reef Club Airport,25.325399,-80.274803,8,NA,US,US-FL,Key Largo,no,,OCA,07FA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,,NUP,PPIT,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,
10309,38WA,small_airport,Blakely Island Airport,48.579162,-122.823844,66,NA,US,US-WA,Blakely Island,yes,,BYW,38WA,38WA,,,
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,NA,US,US-AK,Atmautluak,yes,,ATT,,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK
11485,4K0,small_airport,Pedro Bay Airport,59.796925,-154.129994,45,NA,US,US-AK,Pedro Bay,yes,,PDB,4K0,4K0,,https://en.wikipedia.org/wiki/Pedro_Bay_Airport,AK04
11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55,NA,US,US-AK,Ouzinkie,yes,,KOZ,,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,
11488,4KA,small_airport,Tununak Airport,60.569638,-165.246649,14,NA,US,US-AK,Tununak,yes,,TNK,POKA,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,AK45
11900,51Z,small_airport,Minto Al Wright Airport,65.147991,-149.368658,460,NA,US,US-AK,Minto,yes,,MNT,,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,,WKK,5A8,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
13997,78WA,small_airport,Center Island Airport,48.490046,-122.831612,115,NA,US,US-WA,Center Island,yes,,CWS,78WA,78WA,,https://en.wikipedia.org/wiki/Center_Island_Airport,
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,NA,US,US-AK,Tatitlek,yes,,TEK,PAKA,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,AK47
14453,7WA5,small_airport,Stuart Island Airpark,48.673379,-123.175439,10,NA,US,US-WA,Friday Harbor,yes,,SSW,7WA5,7WA5,,,
15300,90WA,small_airport,Waldron Airstrip,48.71141,-123.018208,140,NA,US,US-WA,Eastsound,yes,,WDN,90WA,90WA,,,Waldronaire
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,NA,US,US-AK,Chuathbaluk,yes,,CHU,PACH,9A3,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,
16082,A61,small_airport,Tuntutuliak Airport,60.351243,-162.654476,16,NA,US,US-AK,Tuntutuliak,yes,,WTL,A61,A61,,https://en.wikipedia.org/wiki/Tuntutuliak_Airport,AK61
